,destination_facility,disposal,report_quarter,report_year,total_adc,transformation,county_id
64,Vasco Road Sanitary Landfill,97706.0,2,1998,1583.0,0.0,1
66,Altamont Landfill & Resource Recovery,403987.0,3,1998,34329.0,0.0,1
67,Tri Cities Recycling & Disposal Fac,77494.0,3,1998,34329.0,0.0,1
68,Vasco Road Sanitary Landfill,116056.0,3,1998,5265.0,0.0,1
70,Altamont Landfill & Resource Recovery,350467.0,4,1998,43878.0,0.0,1
71,Tri Cities Recycling & Disposal Fac,73629.0,4,1998,7042.0,0.0,1
72,Vasco Road Sanitary Landfill,108225.0,4,1998,6942.0,0.0,1
75,Altamont Landfill & Resource Recovery,350644.28,1,1999,64773.12,0.0,1
76,Tri Cities Recycling & Disposal Fac,71782.0,1,1999,6533.0,0.0,1
77,Vasco Road Sanitary Landfill,112504.59,1,1999,4064.18,0.0,1
79,Altamont Landfill & Resource Recovery,359511.68,2,1999,53100.23,0.0,1
80,Tri Cities Recycling & Disposal Fac,75733.0,2,1999,9877.0,0.0,1
81,Vasco Road Sanitary Landfill,123539.32,2,1999,6954.71,0.0,1
83,Altamont Landfill & Resource Recovery,389786.27,3,1999,44626.84,0.0,1
84,Tri Cities Recycling & Disposal Fac,75715.0,3,1999,9218.0,0.0,1
85,Vasco Road Sanitary Landfill,133235.64,3,1999,8395.01,0.0,1
87,Altamont Landfill & Resource Recovery,365171.68,4,1999,55298.92,0.0,1
88,Tri Cities Recycling & Disposal Fac,70742.0,4,1999,6468.0,0.0,1
89,Vasco Road Sanitary Landfill,125724.5,4,1999,4421.94,0.0,1
92,Altamont Landfill & Resource Recovery,367596.54,1,2000,71777.2,0.0,1
93,Tri Cities Recycling & Disposal Fac,71854.0,1,2000,9288.0,0.0,1
94,Vasco Road Sanitary Landfill,110324.06,1,2000,3744.72,0.0,1
96,Altamont Landfill & Resource Recovery,372840.14,2,2000,40798.93,0.0,1
97,Tri Cities Recycling & Disposal Fac,74155.0,2,2000,10297.99,0.0,1
98,Vasco Road Sanitary Landfill,122515.64,2,2000,8654.23,0.0,1
100,Altamont Landfill & Resource Recovery,378848.93,3,2000,40254.59,0.0,1
101,Tri Cities Recycling & Disposal Fac,74656.23,3,2000,7551.0,0.0,1
102,Vasco Road Sanitary Landfill,126269.53,3,2000,8812.05,0.0,1
104,Altamont Landfill & Resource Recovery,370222.56,4,2000,59499.35,0.0,1
105,Tri Cities Recycling & Disposal Fac,72359.0,4,2000,6660.0,0.0,1
106,Vasco Road Sanitary Landfill,118300.64,4,2000,6264.32,0.0,1
109,Altamont Landfill & Resource Recovery,353610.37,1,2001,35104.6,0.0,1
110,Tri Cities Recycling & Disposal Fac,69344.0,1,2001,6183.0,0.0,1
111,Vasco Road Sanitary Landfill,113572.05,1,2001,14180.65,0.0,1
113,Altamont Landfill & Resource Recovery,369427.29,2,2001,21483.78,0.0,1
114,Tri Cities Recycling & Disposal Fac,71736.0,2,2001,9893.0,0.0,1
115,Vasco Road Sanitary Landfill,113427.79,2,2001,21947.42,0.0,1
117,Altamont Landfill & Resource Recovery,376970.68,3,2001,34864.62,0.0,1
118,Tri Cities Recycling & Disposal Fac,71684.0,3,2001,8314.0,0.0,1
119,Vasco Road Sanitary Landfill,110065.38,3,2001,27748.24,0.0,1
121,Altamont Landfill & Resource Recovery,347756.38,4,2001,69608.56,0.0,1
122,Tri Cities Recycling & Disposal Fac,68610.0,4,2001,11084.0,0.0,1
123,Vasco Road Sanitary Landfill,93443.11,4,2001,16642.54,0.0,1
126,Altamont Landfill & Resource Recovery,330188.44,1,2002,31167.12,0.0,1
127,Tri Cities Recycling & Disposal Fac,63483.0,1,2002,9648.0,0.0,1
128,Vasco Road Sanitary Landfill,95980.25,1,2002,15879.33,0.0,1
130,Altamont Landfill & Resource Recovery,342037.59,2,2002,36642.05,0.0,1
131,Tri Cities Recycling & Disposal Fac,73301.0,2,2002,8843.0,0.0,1
132,Vasco Road Sanitary Landfill,108839.01,2,2002,19083.64,0.0,1
134,Altamont Landfill & Resource Recovery,335382.22,3,2002,39375.1,0.0,1
135,Tri Cities Recycling & Disposal Fac,73848.0,3,2002,6577.0,0.0,1
136,Vasco Road Sanitary Landfill,109113.5,3,2002,27728.6,0.0,1
138,Altamont Landfill & Resource Recovery,331046.8,4,2002,55149.3,0.0,1
139,Tri Cities Recycling & Disposal Fac,70858.0,4,2002,11328.0,0.0,1
140,Vasco Road Sanitary Landfill,100324.59,4,2002,35676.79,0.0,1
143,Altamont Landfill & Resource Recovery,312684.36,1,2003,59496.41,0.0,1
144,Tri Cities Recycling & Disposal Fac,72604.0,1,2003,16162.99,0.0,1
145,Vasco Road Sanitary Landfill,96016.57,1,2003,38280.58,0.0,1
147,Altamont Landfill & Resource Recovery,320413.99,2,2003,66348.36,0.0,1
148,Tri Cities Recycling & Disposal Fac,79208.0,2,2003,15483.98,0.0,1
149,Vasco Road Sanitary Landfill,99524.47,2,2003,23861.86,0.0,1
151,Altamont Landfill & Resource Recovery,332892.79,3,2003,68309.33,0.0,1
152,Tri Cities Recycling & Disposal Fac,75277.0,3,2003,15170.0,0.0,1
153,Vasco Road Sanitary Landfill,120763.99,3,2003,21700.11,0.0,1
155,Altamont Landfill & Resource Recovery,323363.0,4,2003,66871.45,0.0,1
156,Tri Cities Recycling & Disposal Fac,70621.0,4,2003,11150.01,0.0,1
157,Vasco Road Sanitary Landfill,114725.0,4,2003,21256.21,0.0,1
160,Altamont Landfill & Resource Recovery,319157.79,1,2004,78004.25,0.0,1
161,Tri Cities Recycling & Disposal Fac,67996.0,1,2004,13750.0,0.0,1
162,Vasco Road Sanitary Landfill,119380.6,1,2004,18587.21,0.0,1
164,Altamont Landfill & Resource Recovery,320579.9,2,2004,79786.47,0.0,1
165,Tri Cities Recycling & Disposal Fac,67321.0,2,2004,15410.0,0.0,1
166,Vasco Road Sanitary Landfill,127681.72,2,2004,13384.1,0.0,1
168,Altamont Landfill & Resource Recovery,333139.57,3,2004,74551.42,0.0,1
169,Tri Cities Recycling & Disposal Fac,71412.0,3,2004,15147.0,0.0,1
170,Vasco Road Sanitary Landfill,127070.21,3,2004,14083.02,0.0,1
172,Altamont Landfill & Resource Recovery,328115.39,4,2004,34828.37,0.0,1
173,Tri Cities Recycling & Disposal Fac,69940.0,4,2004,17348.0,0.0,1
174,Vasco Road Sanitary Landfill,118297.36,4,2004,23110.9,0.0,1
177,Altamont Landfill & Resource Recovery,319556.97,1,2005,40399.4,0.0,1
178,Tri Cities Recycling & Disposal Fac,69993.0,1,2005,14957.0,0.0,1
179,Vasco Road Sanitary Landfill,114195.0,1,2005,26748.0,0.0,1
181,Altamont Landfill & Resource Recovery,323361.6,2,2005,53342.74,0.0,1
182,Tri Cities Recycling & Disposal Fac,69344.43,2,2005,13957.97,0.0,1
183,Vasco Road Sanitary Landfill,130837.6,2,2005,17916.03,0.0,1
185,Altamont Landfill & Resource Recovery,332345.2,3,2005,47719.43,0.0,1
186,Tri Cities Recycling & Disposal Fac,69984.0,3,2005,10773.0,0.0,1
187,Vasco Road Sanitary Landfill,127634.0,3,2005,12598.0,0.0,1
189,Altamont Landfill & Resource Recovery,330713.5,4,2005,36254.77,0.0,1
190,Tri Cities Recycling & Disposal Fac,65823.0,4,2005,4277.0,0.0,1
191,Vasco Road Sanitary Landfill,112548.0,4,2005,22501.0,0.0,1
194,Altamont Landfill & Resource Recovery,351514.11,1,2006,44562.51,0.0,1
195,Tri Cities Recycling & Disposal Fac,65907.0,1,2006,5771.0,0.0,1
196,Vasco Road Sanitary Landfill,121335.2,1,2006,56209.0,0.0,1
198,Altamont Landfill & Resource Recovery,357659.94,2,2006,40251.16,0.0,1
199,Tri Cities Recycling & Disposal Fac,69051.0,2,2006,10913.5,0.0,1
200,Vasco Road Sanitary Landfill,126935.49,2,2006,42406.0,0.0,1
202,Altamont Landfill & Resource Recovery,371200.29,3,2006,35451.08,0.0,1
203,Tri Cities Recycling & Disposal Fac,67841.0,3,2006,7411.0,0.0,1
204,Vasco Road Sanitary Landfill,129803.15,3,2006,41476.0,0.0,1
206,Altamont Landfill & Resource Recovery,337920.15,4,2006,39267.05,0.0,1
207,Tri Cities Recycling & Disposal Fac,64408.0,4,2006,12758.0,0.0,1
208,Vasco Road Sanitary Landfill,147550.48,4,2006,42386.0,0.0,1
211,Altamont Landfill & Resource Recovery,333731.84,1,2007,36702.91,0.0,1
212,Tri Cities Recycling & Disposal Fac,63935.0,1,2007,4303.0,0.0,1
213,Vasco Road Sanitary Landfill,132971.03,1,2007,57585.48,0.0,1
215,Altamont Landfill & Resource Recovery,327376.81,2,2007,44373.0,0.0,1
216,Tri Cities Recycling & Disposal Fac,65405.0,2,2007,16154.0,0.0,1
217,Vasco Road Sanitary Landfill,133196.42,2,2007,49227.22,0.0,1
219,Altamont Landfill & Resource Recovery,320387.26,3,2007,38400.38,0.0,1
220,Tri Cities Recycling & Disposal Fac,62568.0,3,2007,15343.0,0.0,1
221,Vasco Road Sanitary Landfill,144473.9,3,2007,47307.86,0.0,1
223,Altamont Landfill & Resource Recovery,306155.34,4,2007,31278.97,0.0,1
224,Tri Cities Recycling & Disposal Fac,59164.99,4,2007,21895.0,0.0,1
225,Vasco Road Sanitary Landfill,122544.6,4,2007,50890.73,0.0,1
228,Altamont Landfill & Resource Recovery,312937.7,1,2008,35468.79,0.0,1
229,Tri Cities Recycling & Disposal Fac,55259.99,1,2008,22658.0,0.0,1
230,Vasco Road Sanitary Landfill,83864.71,1,2008,60006.35,0.0,1
232,Altamont Landfill & Resource Recovery,313634.73,2,2008,32947.02,0.0,1
233,Tri Cities Recycling & Disposal Fac,54727.99,2,2008,23486.0,0.0,1
234,Vasco Road Sanitary Landfill,98368.57,2,2008,76982.66,0.0,1
236,Altamont Landfill & Resource Recovery,301182.26,3,2008,30528.66,0.0,1
237,Tri Cities Recycling & Disposal Fac,57796.02,3,2008,23928.0,0.0,1
238,Vasco Road Sanitary Landfill,87197.48,3,2008,64706.54,0.0,1
240,Altamont Landfill & Resource Recovery,292671.25,4,2008,24566.26,0.0,1
241,Tri Cities Recycling & Disposal Fac,54087.02,4,2008,15757.0,0.0,1
242,Vasco Road Sanitary Landfill,79046.98,4,2008,56991.72,0.0,1
245,Altamont Landfill & Resource Recovery,275012.75,1,2009,25757.05,0.0,1
246,Tri Cities Recycling & Disposal Fac,49571.59,1,2009,6511.24,0.0,1
247,Vasco Road Sanitary Landfill,68067.81,1,2009,49033.26,0.0,1
249,Altamont Landfill & Resource Recovery,273915.84,2,2009,34269.89,0.0,1
250,Tri Cities Recycling & Disposal Fac,51220.76,2,2009,10688.09,0.0,1
251,Vasco Road Sanitary Landfill,73336.9,2,2009,31994.6,0.0,1
253,Altamont Landfill & Resource Recovery,263033.5,3,2009,26909.16,0.0,1
254,Tri Cities Recycling & Disposal Fac,53075.61,3,2009,4474.83,0.0,1
255,Vasco Road Sanitary Landfill,76105.8,3,2009,31229.61,0.0,1
257,Altamont Landfill & Resource Recovery,257748.95,4,2009,27390.52,0.0,1
258,Tri Cities Recycling & Disposal Fac,50748.98,4,2009,7879.29,0.0,1
259,Vasco Road Sanitary Landfill,65647.07,4,2009,31451.86,0.0,1
262,Altamont Landfill & Resource Recovery,242479.04,1,2010,37643.28,0.0,1
263,Tri Cities Recycling & Disposal Fac,51117.05,1,2010,3607.79,0.0,1
264,Vasco Road Sanitary Landfill,59934.16,1,2010,38327.33,0.0,1
266,Altamont Landfill & Resource Recovery,246533.34,2,2010,64318.37,0.0,1
267,Tri Cities Recycling & Disposal Fac,53723.16,2,2010,6176.99,0.0,1
268,Vasco Road Sanitary Landfill,66688.58,2,2010,38464.89,0.0,1
270,Altamont Landfill & Resource Recovery,305387.93,3,2010,42920.62,0.0,1
271,Tri Cities Recycling & Disposal Fac,14999.2,3,2010,33.67,0.0,1
272,Vasco Road Sanitary Landfill,64627.19,3,2010,36349.71,0.0,1
274,Altamont Landfill & Resource Recovery,286805.75,4,2010,42369.26,0.0,1
275,Tri Cities Recycling & Disposal Fac,14747.08,4,2010,328.47,0.0,1
276,Vasco Road Sanitary Landfill,62143.89,4,2010,33439.98,0.0,1
279,Altamont Landfill & Resource Recovery,272753.12,1,2011,46692.94,0.0,1
280,Tri Cities Recycling & Disposal Fac,13646.16,1,2011,10730.77,0.0,1
281,Vasco Road Sanitary Landfill,55053.15,1,2011,82971.53,0.0,1
283,Altamont Landfill & Resource Recovery,283124.93,2,2011,52780.54,0.0,1
284,Tri Cities Recycling & Disposal Fac,14944.3,2,2011,3486.31,0.0,1
285,Vasco Road Sanitary Landfill,57920.09,2,2011,89921.31,0.0,1
287,Altamont Landfill & Resource Recovery,290449.0,3,2011,68474.23,0.0,1
288,Tri Cities Recycling & Disposal Fac,15147.29,3,2011,68474.23,0.0,1
289,Vasco Road Sanitary Landfill,59675.44,3,2011,123088.54,0.0,1
291,Altamont Landfill & Resource Recovery,282357.0,4,2011,52428.47,0.0,1
292,Tri Cities Recycling & Disposal Fac,14114.04,4,2011,52428.47,0.0,1
293,Vasco Road Sanitary Landfill,57232.05,4,2011,108769.69,0.0,1
296,Altamont Landfill & Resource Recovery,277407.43,1,2012,49102.76,0.0,1
297,Tri Cities Recycling & Disposal Fac,12754.38,1,2012,49102.76,0.0,1
298,Vasco Road Sanitary Landfill,52324.3,1,2012,29352.64,0.0,1
300,Altamont Landfill & Resource Recovery,290042.14,2,2012,42836.46,0.0,1
301,Tri Cities Recycling & Disposal Fac,13480.72,2,2012,42836.46,0.0,1
302,Vasco Road Sanitary Landfill,59576.46,2,2012,26920.27,0.0,1
304,Altamont Landfill & Resource Recovery,304895.41,3,2012,52249.12,0.0,1
305,Tri Cities Recycling & Disposal Fac,5190.95,3,2012,52249.12,0.0,1
306,Vasco Road Sanitary Landfill,60825.55,3,2012,25974.4,0.0,1
308,Altamont Landfill & Resource Recovery,294718.94,4,2012,48695.01,0.0,1
309,Tri Cities Recycling & Disposal Fac,0.02,4,2012,48695.01,0.0,1
310,Vasco Road Sanitary Landfill,56597.37,4,2012,28741.48,0.0,1
313,Altamont Landfill & Resource Recovery,291952.86,1,2013,49295.28,0.0,1
314,Vasco Road Sanitary Landfill,52361.45,1,2013,23955.87,0.0,1
316,Altamont Landfill & Resource Recovery,294579.04,2,2013,46805.13,0.0,1
317,Tri Cities Recycling & Disposal Fac,1.7,2,2013,46805.13,0.0,1
318,Vasco Road Sanitary Landfill,58732.34,2,2013,25842.4,0.0,1
320,Altamont Landfill & Resource Recovery,299241.68,3,2013,72922.75,0.0,1
321,Tri Cities Recycling & Disposal Fac,14.88,3,2013,72922.75,0.0,1
322,Vasco Road Sanitary Landfill,60624.32,3,2013,30019.66,0.0,1
324,Altamont Landfill & Resource Recovery,287352.15,4,2013,63311.74,0.0,1
325,Tri Cities Recycling & Disposal Fac,1.36,4,2013,63311.74,0.0,1
326,Vasco Road Sanitary Landfill,58434.16,4,2013,33223.17,0.0,1
329,Altamont Landfill & Resource Recovery,277271.4,1,2014,67454.08,0.0,1
330,Tri Cities Recycling & Disposal Fac,277271.4,1,2014,67454.08,0.0,1
331,Vasco Road Sanitary Landfill,53237.55,1,2014,33557.93,0.0,1
333,Altamont Landfill & Resource Recovery,297515.77,2,2014,53011.07,0.0,1
334,Vasco Road Sanitary Landfill,55826.45,2,2014,29032.42,0.0,1
336,Altamont Landfill & Resource Recovery,297205.41,3,2014,69612.42,0.0,1
337,Vasco Road Sanitary Landfill,60067.32,3,2014,37466.56,0.0,1
339,Altamont Landfill & Resource Recovery,291350.72,4,2014,64456.03,0.0,1
340,Vasco Road Sanitary Landfill,62576.14,4,2014,31788.85,0.0,1
343,Altamont Landfill & Resource Recovery,289180.06,1,2015,60722.83,0.0,1
344,Vasco Road Sanitary Landfill,62000.91,1,2015,42568.06,0.0,1
346,Altamont Landfill & Resource Recovery,289789.77,2,2015,53893.07,0.0,1
347,Vasco Road Sanitary Landfill,63628.96,2,2015,25362.66,0.0,1
349,Altamont Landfill & Resource Recovery,293054.97,3,2015,64233.01,0.0,1
350,Vasco Road Sanitary Landfill,59788.4,3,2015,31405.53,0.0,1
352,Altamont Landfill & Resource Recovery,272591.57,4,2015,61065.37,0.0,1
353,Vasco Road Sanitary Landfill,60969.15,4,2015,29759.55,0.0,1
356,Altamont Landfill & Resource Recovery,212784.68,1,2016,72858.4,0.0,1
357,Vasco Road Sanitary Landfill,61837.09,1,2016,33903.18,0.0,1
359,Altamont Landfill & Resource Recovery,189727.13,2,2016,64744.19,0.0,1
360,Vasco Road Sanitary Landfill,62900.7,2,2016,26193.91,0.0,1
362,Altamont Landfill & Resource Recovery,220872.96,3,2016,62202.04,0.0,1
363,Vasco Road Sanitary Landfill,61440.55,3,2016,34450.36,0.0,1
365,Altamont Landfill & Resource Recovery,218419.08,4,2016,73630.22,0.0,1
366,Vasco Road Sanitary Landfill,62781.38,4,2016,38219.64,0.0,1
369,Altamont Landfill & Resource Recovery,229689.2,1,2017,31851.41,0.0,1
370,Vasco Road Sanitary Landfill,60893.42,1,2017,57364.33,0.0,1
372,Altamont Landfill & Resource Recovery,237752.74,2,2017,51916.77,0.0,1
373,Vasco Road Sanitary Landfill,67158.9,2,2017,41521.0,0.0,1
375,Altamont Landfill & Resource Recovery,274822.77,3,2017,53930.67,0.0,1
376,Vasco Road Sanitary Landfill,70464.35,3,2017,50373.38,0.0,1
378,Altamont Landfill & Resource Recovery,228997.35,4,2017,48495.09,0.0,1
379,Vasco Road Sanitary Landfill,62189.77,4,2017,59589.78,0.0,1
7,Amador Co SLF/Buena Vista Class II LF,5250.33,1,1995,0.0,0.0,3
9,Amador Co SLF/Buena Vista Class II LF,5258.89,2,1995,0.0,0.0,3
11,Amador Co SLF/Buena Vista Class II LF,5219.8,3,1995,0.0,0.0,3
13,Amador Co SLF/Buena Vista Class II LF,4713.4,4,1995,0.0,0.0,3
16,Amador Co SLF/Buena Vista Class II LF,4719.0,1,1996,0.0,0.0,3
18,Amador Co SLF/Buena Vista Class II LF,6146.0,2,1996,0.0,0.0,3
20,Amador Co SLF/Buena Vista Class II LF,3766.0,3,1996,0.0,0.0,3
22,Amador Co SLF/Buena Vista Class II LF,3098.0,4,1996,0.0,0.0,3
25,Amador Co SLF/Buena Vista Class II LF,5243.0,1,1997,0.0,0.0,3
27,Amador Co SLF/Buena Vista Class II LF,992.0,2,1997,0.0,0.0,3
29,Amador Co SLF/Buena Vista Class II LF,1693.0,3,1997,0.0,0.0,3
31,Amador Co SLF/Buena Vista Class II LF,2720.0,4,1997,0.0,0.0,3
34,Amador Co SLF/Buena Vista Class II LF,4385.97,1,1998,0.0,0.0,3
36,Amador Co SLF/Buena Vista Class II LF,4951.0,2,1998,0.0,0.0,3
38,Amador Co SLF/Buena Vista Class II LF,2944.0,3,1998,0.0,0.0,3
40,Amador Co SLF/Buena Vista Class II LF,179.84,4,1998,0.0,0.0,3
43,Amador Co SLF/Buena Vista Class II LF,58.0,1,1999,0.0,0.0,3
45,Amador Co SLF/Buena Vista Class II LF,69.0,2,1999,0.0,0.0,3
47,Amador Co SLF/Buena Vista Class II LF,114.0,3,1999,0.0,0.0,3
49,Amador Co SLF/Buena Vista Class II LF,2481.0,4,1999,0.0,0.0,3
52,Amador Co SLF/Buena Vista Class II LF,7356.0,1,2000,2223.0,0.0,3
54,Amador Co SLF/Buena Vista Class II LF,8389.0,2,2000,2306.0,0.0,3
56,Amador Co SLF/Buena Vista Class II LF,16553.45,3,2000,2357.0,0.0,3
58,Amador Co SLF/Buena Vista Class II LF,7070.16,4,2000,3576.0,0.0,3
61,Amador Co SLF/Buena Vista Class II LF,8197.0,1,2001,1367.0,0.0,3
63,Amador Co SLF/Buena Vista Class II LF,10345.0,2,2001,105.0,0.0,3
65,Amador Co SLF/Buena Vista Class II LF,9638.0,3,2001,1313.0,0.0,3
67,Amador Co SLF/Buena Vista Class II LF,8705.0,4,2001,407.0,0.0,3
70,Amador Co SLF/Buena Vista Class II LF,6992.0,1,2002,455.0,0.0,3
72,Amador Co SLF/Buena Vista Class II LF,9898.0,2,2002,8.0,0.0,3
74,Amador Co SLF/Buena Vista Class II LF,9253.0,3,2002,2910.0,0.0,3
76,Amador Co SLF/Buena Vista Class II LF,6863.0,4,2002,188.0,0.0,3
79,Amador Co SLF/Buena Vista Class II LF,5798.0,1,2003,188.0,0.0,3
81,Amador Co SLF/Buena Vista Class II LF,6984.0,2,2003,188.0,0.0,3
83,Amador Co SLF/Buena Vista Class II LF,6963.0,3,2003,188.0,0.0,3
85,Amador Co SLF/Buena Vista Class II LF,6543.0,4,2003,188.0,0.0,3
88,Amador Co SLF/Buena Vista Class II LF,430.0,1,2004,188.0,0.0,3
7,Louisiana-Pacific Landfill,7287.0,1,1995,0.0,0.0,4
8,Neal Road Recycling and Waste Facility,40961.0,1,1995,0.0,0.0,4
10,Louisiana-Pacific Landfill,6164.0,2,1995,0.0,0.0,4
11,Neal Road Recycling and Waste Facility,45518.0,2,1995,0.0,0.0,4
13,Louisiana-Pacific Landfill,5942.0,3,1995,0.0,0.0,4
14,Neal Road Recycling and Waste Facility,45982.0,3,1995,0.0,0.0,4
16,Louisiana-Pacific Landfill,5832.0,4,1995,0.0,0.0,4
17,Neal Road Recycling and Waste Facility,42402.0,4,1995,0.0,0.0,4
20,Louisiana-Pacific Landfill,4309.0,1,1996,0.0,0.0,4
21,Neal Road Recycling and Waste Facility,44817.0,1,1996,0.0,0.0,4
23,Louisiana-Pacific Landfill,3653.0,2,1996,0.0,0.0,4
24,Neal Road Recycling and Waste Facility,47405.02,2,1996,0.0,0.0,4
26,Louisiana-Pacific Landfill,3349.0,3,1996,0.0,0.0,4
27,Neal Road Recycling and Waste Facility,49884.0,3,1996,0.0,0.0,4
29,Louisiana-Pacific Landfill,2440.0,4,1996,0.0,0.0,4
30,Neal Road Recycling and Waste Facility,40790.0,4,1996,0.0,0.0,4
33,Louisiana-Pacific Landfill,3309.0,1,1997,0.0,0.0,4
34,Neal Road Recycling and Waste Facility,38682.72,1,1997,0.0,0.0,4
36,Louisiana-Pacific Landfill,3309.0,2,1997,0.0,0.0,4
37,Neal Road Recycling and Waste Facility,43402.71,2,1997,0.0,0.0,4
39,Louisiana-Pacific Landfill,3269.0,3,1997,0.0,0.0,4
40,Neal Road Recycling and Waste Facility,42216.33,3,1997,0.0,0.0,4
42,Louisiana-Pacific Landfill,3231.0,4,1997,0.0,0.0,4
43,Neal Road Recycling and Waste Facility,39390.0,4,1997,0.0,0.0,4
46,Louisiana-Pacific Landfill,3049.0,1,1998,0.0,0.0,4
47,Neal Road Recycling and Waste Facility,40378.62,1,1998,0.0,0.0,4
49,Louisiana-Pacific Landfill,3809.41,2,1998,0.0,0.0,4
50,Neal Road Recycling and Waste Facility,41551.93,2,1998,0.0,0.0,4
52,Louisiana-Pacific Landfill,2928.93,3,1998,0.0,0.0,4
53,Neal Road Recycling and Waste Facility,41519.6,3,1998,0.0,0.0,4
55,Louisiana-Pacific Landfill,1995.05,4,1998,0.0,0.0,4
56,Neal Road Recycling and Waste Facility,36632.22,4,1998,0.0,0.0,4
59,Louisiana-Pacific Landfill,2937.38,1,1999,0.0,0.0,4
60,Neal Road Recycling and Waste Facility,31609.87,1,1999,0.0,0.0,4
62,Louisiana-Pacific Landfill,4200.0,2,1999,0.0,0.0,4
63,Neal Road Recycling and Waste Facility,40285.0,2,1999,0.0,0.0,4
65,Louisiana-Pacific Landfill,4805.0,3,1999,0.0,0.0,4
66,Neal Road Recycling and Waste Facility,44261.0,3,1999,0.0,0.0,4
68,Louisiana-Pacific Landfill,3507.0,4,1999,0.0,0.0,4
69,Neal Road Recycling and Waste Facility,40400.0,4,1999,0.0,0.0,4
72,Louisiana-Pacific Landfill,4160.0,1,2000,0.0,0.0,4
73,Neal Road Recycling and Waste Facility,34048.33,1,2000,0.0,0.0,4
75,Louisiana-Pacific Landfill,1540.0,2,2000,0.0,0.0,4
76,Neal Road Recycling and Waste Facility,41350.0,2,2000,0.0,0.0,4
78,Louisiana-Pacific Landfill,1192.0,3,2000,0.0,0.0,4
79,Neal Road Recycling and Waste Facility,37718.0,3,2000,0.0,0.0,4
81,Louisiana-Pacific Landfill,595.2,4,2000,0.0,0.0,4
82,Neal Road Recycling and Waste Facility,38623.01,4,2000,0.0,0.0,4
85,Louisiana-Pacific Landfill,586.0,1,2001,0.0,0.0,4
